1695,2,2,3,3,2,5,1,5,3,5,3,3,4,4,4,6,4,4,4,2,3,3,8,4
2786,2,2,6,4,2,5,1,7,3,5,3,3,4,2,4,2,3,4,2,2,3,1,2,4
11007,2,2,3,3,2,5,1,7,3,5,3,3,4,4,5,5,3,4,4,2,3,4,8,2
12382,2,5,4,3,2,6,2,2,3,4,3,2,1,4,6,1,4,3,2,6,3,2,9,1
21987,2,2,3,3,2,5,1,7,3,4,3,2,3,4,5,5,4,4,4,2,3,3,9,3
23351,2,2,3,3,2,5,1,7,3,5,3,3,4,4,6,5,4,4,4,2,3,3,8,2
1001003,2,2,5,4,2,4,2,4,3,3,2,1,1,4,3,4,4,3,4,2,3,3,2,3
1182103,2,2,4,4,2,4,2,4,4,2,2,1,3,4,2,1,4,3,4,2,3,3,2,1
414104,2,3,6,2,2,4,2,3,3,4,2,2,2,5,2,4,6,3,4,4,3,4,4,3
478304,2,2,3,3,1,5,1,5,3,3,2,5,2,4,3,4,2,4,2,2,4,7,5,2
533604,2,2,5,3,2,4,2,4,3,5,2,2,1,5,4,5,6,3,4,4,3,2,5,3
541504,2,2,7,4,2,4,2,4,3,5,2,2,3,5,4,6,6,3,4,4,3,4,6,4
544404,2,1,4,4,2,4,2,4,3,2,2,1,1,4,2,4,4,3,4,2,3,3,2,3
549204,2,2,3,3,1,5,1,5,3,3,2,3,2,4,3,5,4,4,2,2,3,2,4,2
553604,2,2,4,4,2,5,2,4,3,2,2,1,1,4,2,2,4,3,4,2,3,3,1,3
75101,2,3,2,3,2,4,2,6,3,3,2,2,2,5,3,4,5,3,4,3,2,2,6,1
773901,2,5,6,4,2,4,2,2,2,3,2,2,3,4,4,9,9,3,4,3,3,3,7,1
898699,2,4,6,3,2,4,2,5,3,4,2,2,3,6,1,4,5,3,4,3,2,1,2,2
910079,2,2,6,4,2,5,1,5,3,5,3,3,3,2,4,2,4,4,2,2,3,4,7,4
920320,2,2,6,4,2,5,1,7,3,5,2,2,3,2,4,2,3,4,2,2,3,3,8,4
931117,2,2,3,3,2,5,1,5,3,5,2,1,3,4,3,6,4,4,4,2,3,3,9,3
94M4241A,2,2,8,2,2,5,1,5,3,4,3,4,4,4,4,8,5,4,2,3,2,1,8,1
950545,2,3,4,2,2,5,2,2,3,5,3,3,2,4,5,2,7,3,2,4,3,4,6,1
951646,2,2,5,4,2,5,1,7,3,5,2,3,6,2,4,1,4,4,2,2,3,3,7,4
951848,2,2,8,2,2,5,1,7,3,4,3,3,4,4,4,8,5,4,2,3,3,1,7,1
957799,2,3,6,4,2,4,2,5,3,5,2,2,4,5,3,7,6,3,4,2,2,1,3,3
961548,2,2,8,2,2,5,1,7,3,4,3,3,4,4,4,2,4,4,2,2,3,1,8,1
962104,2,2,2,3,2,5,1,7,3,5,4,3,4,4,5,6,4,4,4,2,3,4,6,2
964329,2,4,4,3,2,6,2,2,1,5,3,2,2,4,6,3,1,3,2,4,3,4,3,1
970827,2,2,3,3,2,5,1,5,3,5,3,3,4,4,5,10,4,4,4,2,3,3,8,2
981663,2,2,8,2,2,5,1,7,3,4,3,3,4,3,4,11,4,4,2,3,3,1,8,1
981833,2,2,3,3,2,5,1,7,3,5,3,1,3,4,4,6,4,4,4,2,3,3,9,3
981863,2,2,3,3,2,5,1,6,3,5,3,3,5,4,5,4,3,4,4,2,3,3,8,2
